Experiment Number,Tool Profile (P),Rotational Speed (N),Welding Speed (S),Axial Force (F),Corrosion pit potential/mv
1,-1,-1,-1,-1,-572
2,1,-1,-1,-1,-591
3,-1,1,-1,-1,-577
4,1,1,-1,-1,-594
5,-1,-1,1,-1,-575
6,1,-1,1,-1,-587
7,-1,1,1,-1,-568
8,1,1,1,-1,-589
9,-1,-1,-1,1,-569
10,1,-1,-1,1,-592
11,-1,1,-1,1,-574
12,1,1,-1,1,-588
13,-1,-1,1,1,-573
14,1,-1,1,1,-593
15,-1,1,1,1,-576
16,1,1,1,1,-558
17,-2,0,0,0,-554
18,2,0,0,0,-615
19,0,-2,0,0,-557
20,0,2,0,0,-610
21,0,0,-2,0,-551
22,0,0,2,0,-611
23,0,0,0,-2,-558
24,0,0,0,2,-618
25,0,0,0,0,-586
26,0,0,0,0,-590
27,0,0,0,0,-582
28,0,0,0,0,-581
29,0,0,0,0,-591
30,0,0,0,0,-588
31,0,0,0,0,-587
